Date,Close
2015-04-30,43.46666666666666
2015-05-31,47.53
2015-06-30,45.964090909090906
2015-07-31,45.61181818181819
2015-08-31,45.50666666666667
2015-09-30,43.56142857142857
2015-10-31,48.70090909090909
2015-11-30,53.885000000000005
2015-12-31,55.39590909090909
2016-01-31,52.403684210526315
2016-02-29,51.3805
2016-03-31,53.38409090909091
2016-04-30,54.05428571428572
2016-05-31,50.96952380952381
2016-06-30,50.92
2016-07-31,54.102
2016-08-31,57.71739130434783
2016-09-30,57.28952380952381
2016-10-31,58.397619047619045
2016-11-30,59.9252380952381
2016-12-31,62.118095238095236
2017-01-31,63.19199999999999
2017-02-28,64.11368421052632
2017-03-31,64.84130434782608
2017-04-30,66.17157894736842
2017-05-31,68.91727272727273
2017-06-30,70.51818181818182
2017-07-31,72.01050000000001
2017-08-31,72.81695652173913
2017-09-30,74.34450000000001
2017-10-31,77.93954545454545
2017-11-30,83.71761904761904
2017-12-31,84.7585
2018-01-31,90.07523809523809
2018-02-28,91.3678947368421
2018-03-31,92.89904761904762
2018-04-30,93.2147619047619
2018-05-31,96.98136363636364
2018-06-30,100.56190476190477
2018-07-31,104.63857142857142
2018-08-31,108.68434782608695
2018-09-30,112.23789473684211
2018-10-31,109.20739130434782
2018-11-30,107.29809523809524
2018-12-31,104.39368421052632
2019-01-31,104.13523809523811
2019-02-28,107.9278947368421
2019-03-31,115.13380952380952
2019-04-30,122.79476190476191
2019-05-31,126.34636363636363
2019-06-30,131.994
2019-07-31,138.1027272727273
2019-08-31,136.37636363636364
2019-09-30,138.1155
2019-10-31,139.2291304347826
2019-11-30,148.0955
2019-12-31,154.19809523809522
2020-01-31,163.99904761904762
2020-02-29,178.71947368421053
2020-03-31,152.55409090909092
2020-04-30,169.0395238095238
2020-05-31,182.3425
2020-06-30,192.69954545454547
2020-07-31,207.08045454545453
2020-08-31,214.35333333333332
2020-09-30,208.80714285714285
2020-10-31,212.89045454545456
2020-11-30,214.13899999999998
2020-12-31,217.9631818181818
2021-01-31,221.97526315789472
2021-02-28,240.0668421052632
2021-03-31,233.67434782608697
